Date,Open,High,Low,Close,Adj Close,Volume
2000-06-13,11.594808,11.672284,11.129982,28.250010,11.672284,370900
2000-06-14,11.698098,12.059633,11.284926,27.375006,11.310751,349200
2000-06-15,11.233275,11.310751,10.845927,26.500004,10.949218,1734400
2000-06-16,11.181633,11.388219,10.510221,26.000010,10.742632,1740600
2000-06-19,10.484394,11.233275,10.381101,26.874990,11.104156,699900
2000-06-20,11.233275,11.698098,11.155807,28.250010,11.672284,923500
2000-06-21,11.414046,11.439873,10.949218,26.874990,11.104156,1054500
2000-06-22,11.207458,11.207458,10.665156,25.875000,10.690982,329800
2000-06-23,10.897570,11.233275,10.484394,25.625004,10.587688,1143600
2000-06-26,10.613513,11.775577,10.613513,27.999990,11.568979,540900
2000-06-27,11.568979,11.646456,11.310751,27.812496,11.491513,534600
2000-06-28,11.568979,11.594808,11.310751,28.062496,11.594808,423100
2000-06-29,11.478599,12.162926,11.362393,28.874994,11.930512,480600
2000-06-30,11.982164,11.982164,11.104156,27.499996,11.362393,470800
2000-07-03,11.414046,11.517338,11.414046,27.749994,11.465689,94900
2000-07-05,11.568979,11.878872,11.362393,27.749994,11.465689,162600
2000-07-06,11.594808,12.292046,11.581893,29.687490,12.266218,270900
2000-07-07,12.137109,13.195868,12.111281,31.250004,12.911816,652500
2000-07-10,12.963457,13.221694,12.653575,31.749996,13.118402,451300
2000-07-11,13.118402,14.254641,13.118402,33.624992,13.893106,981400
2000-07-12,13.880202,14.151346,13.738173,34.062504,14.073875,827200
2000-07-13,14.048052,14.306291,12.653575,30.812490,12.731044,1097100
2000-07-14,12.911816,12.963457,12.421165,30.812490,12.731044,1230000
2000-07-17,12.743956,13.015110,12.705228,30.812490,12.731044,404500
2000-07-18,12.860164,12.860164,12.369520,30.062496,12.421165,458200
2000-07-19,12.408251,12.834346,12.033806,30.687504,12.679403,718800
2000-07-20,12.472813,13.221694,12.369520,31.999996,13.221694,188700
2000-07-21,13.066760,13.505760,13.053844,32.187508,13.299171,209800
2000-07-24,13.454109,14.306291,12.808519,31.999996,13.221694,624600
2000-07-25,13.505760,13.841466,13.273344,32.812492,13.557403,635400
2000-07-26,13.518673,13.634878,12.550282,32.437508,13.402467,1428700
2000-07-27,13.428283,13.557403,12.911816,31.374990,12.963457,1416600
2000-07-28,13.118402,13.273344,12.756872,31.749996,13.118402,410500
2000-07-31,13.234608,13.247520,12.421165,30.312496,12.524456,556200
2000-08-01,12.498633,12.911816,12.446991,30.437504,12.576108,1405900
2000-08-02,12.756872,13.092576,12.679403,31.500000,13.015110,636900
2000-08-03,12.808519,13.634878,12.756872,33.000008,13.634878,462100
2000-08-04,13.505760,14.771117,13.441196,35.000008,14.461234,787000
2000-08-07,14.706554,14.745289,14.125520,34.749992,14.357933,1387000
2000-08-08,14.680735,14.693648,14.125520,34.562496,14.280465,627300
2000-08-09,14.383759,14.512877,14.202997,34.749992,14.357933,724900
2000-08-10,14.228823,14.512877,14.022228,34.687508,14.332116,185100
2000-08-11,14.254641,14.512877,14.125520,35.062492,14.487052,378900
2000-08-14,14.448321,14.564530,14.409582,35.062492,14.487052,263400
2000-08-15,14.487052,14.719463,13.221694,32.874996,13.583228,1008400
2000-08-16,13.570314,14.125520,13.570314,33.624992,13.893106,269500
2000-08-17,13.906020,14.512877,13.867292,34.687508,14.332116,443200
2000-08-18,14.512877,14.512877,13.686522,33.500004,13.841466,361800
2000-08-21,13.906020,14.048052,13.634878,33.374992,13.789814,330400
2000-08-22,13.789814,13.841466,13.402467,32.437508,13.402467,252000
2000-08-23,13.234608,14.254641,13.118402,34.125008,14.099704,709300
2000-08-24,13.996410,14.357933,13.738173,34.312500,14.177175,631500
2000-08-25,14.048052,14.409582,14.048052,34.625004,14.306291,295600
